Timestamp (UTC),trval,tqP,tq1P,tq2P
17:51:54.682,.01,-1.38
17:51:54.682,15.93,0.82,3.02,-1.38
17:51:54.682,15.71,0.79,3.02,-1.44
17:51:54.683,17.64,0.74,2.92,-1.45
17:51:54.683,,3.07,-1.41
17:51:54.683,15.79,0.81,3.03,-1.42
17:51:54.683,14.14,0.81,3.01,-1.38
17:51:54.684,15.93,0.82,3.02,-1.38
17:51:54.684,15.71,0.79,3.02,-1.44
17:51:54.684,17.64,0.74,2.92,-1.45
17:51:54.685,,3.07,-1.41
17:51:54.685,15.79,0.81,3.03,-1.42
17:51:54.685,14.14,0.81,3.01,-1.38
17:51:54.685,15.93,0.82,3.02,-1.38
17:51:54.685,15.71,0.79,3.02,-1.44
17:51:54.686,17.64,0.74,2.92,-1.45
17:51:58.585,pEnd Setup.-2.00,0.06,0.09,0.03
17:51:58.670,-2.57,0.04,0.10,-0.02
17:51:58.760,-1.64,0.05,0.12,-0.02
17:51:58.846,0.86,0.09,0.14,0.03
17:51:58.932,0.57,0.07,0.14,-0.00
17:51:59.018,0.00,0.02,0.07,-0.03
17:51:59.104,0.57,0.01,0.03,-0.01
17:51:59.191,0.79,-0.00,0.04,-0.05
17:51:59.280,-0.93,-0.03,0.01,-0.07
17:51:59.367,-1.64,-0.03,-0.04,-0.03
17:51:59.453,-0.29,-0.05,-0.10,-0.01
17:51:59.539,-0.57,-0.09,-0.16,-0.01
17:51:59.625,-0.21,-0.11,-0.17,-0.04
17:51:59.715,3.43,-0.08,-0.14,-0.02
17:51:59.800,0.21,-0.06,-0.11,-0.01
17:51:59.894,-2.71,-0.06,-0.09,-0.04
17:51:59.993,0.50,-0.05,-0.07,-0.02
17:52:00.091,-2.50,-0.05,-0.07,-0.03
17:52:00.190,-3.86,-0.05,-0.05,-0.05
17:52:00.288,-0.57,-0.03,-0.02,-0.03
17:52:00.386,5.50,-0.04,-0.03,-0.06
17:52:00.489,3.29,-0.01,0.00,-0.03
17:52:00.587,-0.57,-0.03,-0.02,-0.05
17:52:00.686,-3.07,-0.04,-0.02,-0.07
17:52:00.784,-2.36,-0.02,0.04,-0.08
17:52:00.883,-0.07,-0.03,0.03,-0.08
17:52:00.980,2.29,0.01,0.07,-0.05
17:52:01.079,1.21,-0.00,0.08,-0.09
17:52:01.180,-0.43,-0.02,0.04,-0.09
17:52:01.279,2.50,-0.01,0.06,-0.09
17:52:01.378,3.86,-0.00,0.08,-0.09
17:52:01.477,2.36,0.01,0.11,-0.09
17:52:01.574,0.36,0.03,0.13,-0.08
17:52:01.673,2.86,0.01,0.11,-0.08
17:52:01.775,0.50,-0.05,-0.03,-0.07
17:52:01.873,-2.93,-0.05,-0.03,-0.07
17:52:01.971,-2.71,-0.07,-0.01,-0.13
17:52:02.070,0.36,-0.04,0.02,-0.09
17:52:02.167,2.14,-0.02,0.05,-0.08
17:52:02.267,2.29,-0.03,0.04,-0.10
17:52:02.365,-4.14,-0.04,0.05,-0.13
17:52:02.467,-5.93,-0.04,0.05,-0.12
17:52:02.565,-1.36,-0.05,0.02,-0.11
17:52:02.664,-0.64,-0.05,0.06,-0.15
17:52:02.762,-3.43,-0.03,0.07,-0.14
17:52:02.861,-2.50,-0.02,0.09,-0.14
17:52:02.958,1.93,0.01,0.16,-0.14
17:52:03.057,-0.14,-0.02,0.14,-0.17
17:52:03.159,-1.36,-0.06,0.04,-0.16
17:52:03.257,-2.57,-0.05,0.04,-0.14
17:52:03.356,0.79,-0.03,0.06,-0.11
17:52:03.454,2.21,-0.02,0.06,-0.11
17:52:03.553,-1.36,-0.01,0.09,-0.11
17:52:03.651,-2.00,-0.02,0.06,-0.10
17:52:03.749,-1.64,-0.02,0.07,-0.12
17:52:03.851,-0.57,-0.03,0.05,-0.10
17:52:03.950,1.79,-0.03,0.04,-0.11
17:52:04.048,-0.50,-0.07,0.01,-0.15
17:52:04.147,-1.57,-0.11,-0.05,-0.16
17:52:04.245,-1.14,-0.11,-0.09,-0.14
17:52:04.343,-0.93,-0.08,-0.04,-0.12
17:52:04.446,-1.71,-0.06,0.00,-0.12
17:52:04.543,-1.50,-0.05,0.01,-0.12
17:52:04.642,-1.57,-0.08,-0.02,-0.14
17:52:04.740,-1.50,-0.08,-0.02,-0.14
17:52:04.839,-0.86,-0.01,0.08,-0.11
17:52:04.937,0.29,-0.02,0.08,-0.11
17:52:05.035,0.21,-0.01,0.11,-0.13
17:52:05.137,-2.14,-0.03,0.08,-0.13
17:52:05.235,0.86,-0.03,0.06,-0.13
17:52:05.333,-0.79,-0.03,0.07,-0.13
17:52:05.433,-1.14,-0.03,0.07,-0.14
17:52:05.531,-0.93,-0.02,0.08,-0.13
17:52:05.630,-2.29,-0.04,0.05,-0.12
17:52:05.728,2.21,-0.01,0.10,-0.12
17:52:05.830,1.50,-0.03,0.08,-0.14
17:52:05.928,0.93,-0.07,0.01,-0.15
17:52:06.026,-1.14,-0.08,-0.01,-0.16
17:52:06.125,2.36,-0.06,0.01,-0.13
17:52:06.223,4.57,-0.10,-0.03,-0.17
17:52:06.322,4.07,-0.10,-0.03,-0.16
17:52:06.419,1.43,-0.08,0.00,-0.16
17:52:06.521,0.57,-0.06,0.03,-0.15
17:52:06.621,-1.14,-0.02,0.09,-0.14
17:52:06.718,0.29,-0.05,0.05,-0.15
17:52:06.817,-0.43,-0.03,0.06,-0.13
17:52:06.916,0.50,-0.03,0.07,-0.14
17:52:07.014,1.93,-0.06,0.01,-0.14
17:52:07.116,-1.36,-0.13,-0.08,-0.18
