Timestamp (UTC),trval,tqP,tq1P,tq2P
19:07:29.772,-2.43,0.34,1.00,-0.32
19:07:29.772,-3.36,0.33,0.96,-0.30
19:07:29.773,-0.36,0.35,0.97,-0.27
19:07:29.773,-0.93,0.37,1.02,-0.27
19:07:29.773,-3.00,0.39,1.05,-0.27
19:07:29.774,,1.00,-0.29
19:07:29.774,-2.43,0.34,1.00,-0.32
19:07:29.774,-3.36,0.33,0.96,-0.30
19:07:29.774,-0.36,0.35,0.97,-0.27
19:07:29.774,-0.93,0.37,1.02,-0.27
19:07:29.776,-3.00,0.39,1.05,-0.27
19:07:33.672,pEnd Setup.-3.86,0.06,0.11,0.01
19:07:33.762,-6.21,0.05,0.10,0.00
19:07:33.848,-3.07,0.02,0.06,-0.03
19:07:33.934,-2.64,0.00,0.02,-0.02
19:07:34.020,-4.00,0.00,0.00,-0.00
19:07:34.106,-0.79,-0.00,-0.00,-0.00
19:07:34.195,-0.36,-0.01,-0.02,-0.00
19:07:34.282,-3.36,-0.03,-0.04,-0.01
19:07:34.367,-2.43,-0.06,-0.08,-0.04
19:07:34.454,-3.36,-0.05,-0.07,-0.03
19:07:34.540,-4.93,-0.03,-0.08,0.01
19:07:34.626,-1.71,-0.01,-0.03,-0.00
19:07:34.711,0.07,-0.05,-0.11,0.01
19:07:34.802,0.50,-0.02,-0.05,0.01
19:07:34.888,2.00,-0.02,-0.03,-0.01
19:07:34.983,-2.29,-0.05,-0.07,-0.03
19:07:35.081,-3.29,-0.04,-0.09,0.01
19:07:35.179,-4.57,-0.01,-0.07,0.04
19:07:35.277,-1.29,-0.02,-0.05,0.01
19:07:35.378,0.93,-0.02,-0.04,-0.00
19:07:35.478,-0.64,-0.01,-0.04,0.02
19:07:35.576,2.00,-0.01,-0.03,0.00
19:07:35.674,-3.29,-0.01,-0.04,0.01
19:07:35.773,-2.07,0.03,0.05,0.01
19:07:35.871,2.57,-0.01,-0.04,0.01
19:07:35.969,0.36,-0.06,-0.12,-0.01
19:07:36.072,-2.64,-0.03,-0.06,0.00
19:07:36.170,-1.93,-0.04,-0.08,-0.00
19:07:36.268,0.86,-0.01,-0.04,0.02
19:07:36.367,-2.07,-0.01,-0.05,0.03
19:07:36.465,-3.00,-0.01,-0.05,0.02
19:07:36.563,0.43,-0.02,-0.03,-0.01
19:07:36.662,-2.36,-0.02,-0.04,0.01
19:07:36.759,1.57,-0.04,-0.09,0.01
19:07:36.861,2.57,-0.07,-0.16,0.02
19:07:36.961,-2.14,-0.05,-0.09,-0.01
19:07:37.059,-1.86,-0.03,-0.04,-0.03
19:07:37.157,-1.50,-0.05,-0.07,-0.02
19:07:37.256,0.00,-0.02,-0.02,-0.01
19:07:37.354,0.57,0.06,0.07,0.05
19:07:37.452,-0.79,0.04,0.05,0.04
19:07:37.554,-3.71,0.00,0.02,-0.01
19:07:37.653,-2.57,0.01,0.00,0.01
19:07:37.751,-0.64,-0.06,-0.11,-0.01
19:07:37.850,-0.86,-0.05,-0.10,0.00
19:07:37.948,-1.43,-0.02,-0.04,-0.00
19:07:38.046,-4.71,-0.02,-0.02,-0.03
19:07:38.144,2.43,-0.03,-0.06,0.01
19:07:38.246,-5.57,-0.04,-0.09,0.01
19:07:38.344,-6.36,-0.04,-0.07,-0.01
19:07:38.443,-0.79,-0.07,-0.15,0.01
19:07:38.542,-2.36,-0.06,-0.14,0.02
19:07:38.640,-5.71,-0.03,-0.08,0.01
19:07:38.739,-1.64,-0.02,-0.03,-0.01
19:07:38.836,-0.93,-0.02,-0.01,-0.02
19:07:38.939,-0.29,-0.01,-0.01,-0.01
19:07:39.036,-1.93,-0.01,-0.02,-0.01
19:07:39.135,2.86,-0.03,-0.04,-0.01
19:07:39.234,4.00,-0.03,-0.05,-0.02
19:07:39.333,0.07,-0.02,-0.02,-0.01
19:07:39.430,-1.86,0.00,-0.00,0.01
19:07:39.528,2.21,-0.01,-0.03,0.00
19:07:39.630,3.93,-0.04,-0.07,-0.02
19:07:39.729,0.79,-0.03,-0.03,-0.03
19:07:39.828,0.43,-0.02,-0.02,-0.01
19:07:39.926,-0.07,-0.01,0.00,-0.03
19:07:40.024,2.50,-0.02,-0.03,-0.00
19:07:40.122,-1.71,-0.05,-0.09,-0.01
19:07:40.220,-0.29,-0.03,-0.05,-0.01
19:07:40.323,0.43,-0.02,-0.01,-0.03
19:07:40.421,-4.07,-0.04,-0.06,-0.02
19:07:40.519,-0.86,-0.03,-0.10,0.03
19:07:40.618,-1.21,-0.03,-0.07,0.00
19:07:40.716,-4.43,-0.02,-0.05,0.00
19:07:40.815,0.50,-0.02,-0.06,0.01
19:07:40.913,2.71,-0.00,-0.03,0.03
19:07:41.011,2.57,-0.01,-0.04,0.02
19:07:41.114,-0.64,-0.04,-0.06,-0.01
19:07:41.211,-2.71,-0.04,-0.05,-0.03
19:07:41.312,-2.43,-0.03,-0.02,-0.03
19:07:41.409,-0.71,-0.01,-0.01,-0.02
19:07:41.507,0.43,0.01,-0.01,0.03
19:07:41.605,0.43,0.03,0.02,0.03
19:07:41.704,0.86,-0.01,-0.03,0.01
19:07:41.806,-0.36,-0.02,-0.06,0.02
19:07:41.904,-2.86,-0.03,-0.07,0.02
19:07:42.002,-3.79,-0.02,-0.03,-0.01
19:07:42.101,-3.00,-0.01,-0.04,0.01
19:07:42.199,-2.43,0.01,-0.00,0.02
19:07:42.297,-2.36,-0.00,-0.01,0.01
19:07:42.395,0.21,-0.00,0.00,-0.01
19:07:42.498,-1.29,-0.02,-0.00,-0.04
19:07:42.596,-0.21,-0.01,-0.02,-0.00
19:07:42.694,0.07,-0.00,-0.03,0.02
19:07:42.792,-1.57,-0.04,-0.07,-0.01
19:07:42.891,-2.14,-0.05,-0.07,-0.03
19:07:42.989,-2.29,-0.03,-0.03,-0.02
19:07:43.087,-2.57,0.00,0.00,-0.00
19:07:43.190,-3.50,-0.00,-0.00,-0.01
19:07:43.288,-1.93,0.00,0.01,-0.01
19:07:43.387,1.86,-0.00,-0.01,0.00
19:07:43.485,0.86,-0.04,-0.06,-0.02
19:07:43.583,-1.86,-0.04,-0.05,-0.02
19:07:43.681,-3.86,0.00,-0.00,0.01
19:07:43.780,0.57,0.01,-0.00,0.03
19:07:43.882,-3.14,-0.01,-0.02,-0.01
19:07:43.980,-2.79,0.00,0.01,-0.00
19:07:44.078,-1.93,-0.01,0.01,-0.03
19:07:44.177,-0.29,-0.01,-0.04,0.02
19:07:44.276,-3.36,-0.01,-0.05,0.02
19:07:44.373,-3.50,-0.02,-0.05,0.00
19:07:44.473,-0.86,-0.01,-0.04,0.01
19:07:44.570,-1.14,0.02,0.01,0.03
19:07:44.673,-0.50,0.04,0.03,0.05
19:07:44.770,-1.64,0.03,0.02,0.04
19:07:44.870,3.14,0.03,0.04,0.02
19:07:44.967,5.43,-0.01,-0.01,-0.00
19:07:45.066,2.79,-0.01,-0.03,0.02
19:07:45.164,-5.07,0.05,0.05,0.05
19:07:45.263,-1.93,0.02,0.01,0.03
19:07:45.365,1.93,-0.01,-0.04,0.03
19:07:45.463,2.93,-0.00,-0.03,0.02
19:07:45.562,6.07,-0.01,-0.00,-0.01
19:07:45.660,1.21,-0.01,-0.05,0.03
19:07:45.758,-3.93,0.02,0.01,0.04
19:07:45.856,-0.86,-0.01,-0.00,-0.01
19:07:45.955,-0.57,-0.02,-0.04,0.01
19:07:46.057,-0.79,0.01,0.00,0.02
19:07:46.156,-2.36,0.03,0.04,0.02
19:07:46.253,-2.21,0.01,0.02,0.01
19:07:46.351,-3.93,0.01,-0.00,0.03
19:07:46.450,-1.21,0.00,-0.01,0.01
19:07:46.548,-0.64,-0.01,-0.01,0.00
19:07:46.647,-1.50,-0.01,-0.02,0.01
19:07:46.748,-2.36,-0.02,-0.03,-0.00
19:07:46.847,-4.36,-0.01,-0.02,-0.01
19:07:46.946,-5.50,-0.00,-0.01,0.01
19:07:47.044,0.50,-0.02,-0.02,-0.01
19:07:47.143,0.36,-0.00,-0.01,0.01
19:07:47.240,-4.36,0.02,0.02,0.02
19:07:47.339,-1.79,0.02,0.02,0.03
19:07:47.437,-0.21,0.05,0.06,0.05
19:07:47.539,-1.86,0.02,0.02,0.01
19:07:47.638,-3.79,-0.00,-0.02,0.02
19:07:47.736,-2.86,0.00,0.00,0.00
19:07:47.834,2.29,0.01,0.01,0.01
19:07:47.933,1.79,0.01,-0.03,0.04
19:07:48.031,-1.07,0.00,-0.03,0.03
19:07:48.130,-0.21,0.04,0.05,0.03
19:07:48.232,-3.57,0.05,0.06,0.03
19:07:48.330,-0.86,-0.00,-0.02,0.01
19:07:48.429,-3.29,0.01,-0.02,0.04
19:07:48.527,-4.00,0.02,0.01,0.03
19:07:48.625,1.14,0.02,-0.01,0.04
19:07:48.724,-1.93,0.03,0.01,0.05
19:07:48.822,-2.64,0.03,0.01,0.05
19:07:48.924,0.86,0.01,0.04,-0.01
19:07:49.022,-4.71,0.02,0.04,-0.01
19:07:49.121,-1.36,0.00,0.02,-0.01
19:07:49.219,-0.57,0.00,-0.02,0.02
19:07:49.317,-2.50,0.01,0.02,0.00
19:07:49.416,-0.43,0.05,0.11,-0.02
19:07:49.514,3.14,0.05,0.09,0.02
19:07:49.616,1.36,0.03,0.06,-0.01
19:07:49.715,0.07,-0.00,0.00,-0.01
19:07:49.812,-4.64,-0.00,-0.00,-0.01
19:07:49.910,-5.64,0.02,0.02,0.01
19:07:50.009,-4.21,0.01,0.00,0.03
19:07:50.107,-4.14,0.00,0.00,0.00
19:07:50.206,1.21,0.02,0.01,0.03
19:07:50.308,-1.57,0.02,0.02,0.02
19:07:50.406,-3.00,0.00,0.01,-0.00
19:07:50.505,-1.50,-0.03,-0.04,-0.01
19:07:50.603,-3.14,-0.02,-0.03,-0.01
19:07:50.702,-3.29,0.01,0.01,0.01
19:07:50.800,-4.64,-0.00,-0.03,0.03
19:07:50.898,-3.21,-0.02,-0.05,0.01
19:07:51.000,2.29,-0.02,-0.01,-0.02
19:07:51.099,-1.14,0.02,0.01,0.03
19:07:51.197,-1.86,0.01,0.01,0.01
19:07:51.296,2.07,-0.02,-0.02,-0.02
19:07:51.393,-2.29,-0.16,-0.47,0.14
19:07:51.492,-4.79,-0.68,-5.91,4.56
19:07:51.594,2038.71,0.85,-11.87,13.57
19:07:51.692,3324.07,1.78,-13.51,17.06
19:07:51.790,3537.79,2.08,-13.96,18.12
19:07:51.889,3632.14,1.77,-13.39,16.93
19:07:51.988,3579.36,0.64,-11.22,12.49
19:07:52.086,2961.71,0.16,-8.02,8.33
19:07:52.185,2379.50,0.27,-5.88,6.42
19:07:52.283,2168.86,0.20,-4.70,5.09
19:07:52.384,1985.50,0.03,-3.96,4.02
19:07:52.483,1945.07,0.07,-3.42,3.56
19:07:52.582,1920.00,-0.03,-2.85,2.80
19:07:52.680,1899.07,0.51,-2.85,3.87
19:07:52.778,1878.36,1.80,-4.25,7.84
19:07:52.876,1860.50,2.40,-4.92,9.71
19:07:52.975,1848.93,2.57,-4.88,10.03
19:07:53.077,1832.64,2.59,-4.86,10.04
19:07:53.175,1803.57,2.54,-4.77,9.86
19:07:53.274,1791.93,2.20,-4.54,8.93
19:07:53.372,1781.50,2.24,-4.24,8.71
19:07:53.470,1764.57,2.18,-4.09,8.46
19:07:53.568,1748.14,2.13,-3.92,8.17
19:07:53.667,1736.21,2.24,-3.15,7.63
19:07:53.769,1724.00,1.76,-2.19,5.71
19:07:53.867,1717.36,0.93,-1.93,3.79
19:07:53.965,1707.50,0.33,-1.89,2.56
19:07:54.064,1682.50,-0.11,-1.93,1.72
19:07:54.163,1679.64,-0.49,-1.93,0.96
19:07:54.261,1678.21,-0.68,-1.95,0.58
19:07:54.359,1669.36,-0.78,-1.99,0.44
19:07:54.461,1662.86,-0.85,-1.96,0.26
19:07:54.560,1659.00,-0.95,-2.00,0.10
19:07:54.658,1652.43,-1.19,-2.69,0.31
19:07:54.757,1650.00,-2.00,-4.18,0.18
19:07:54.855,1633.50,-2.10,-4.24,0.03
19:07:54.953,1625.86,-1.84,-3.69,0.01
19:07:55.052,1623.21,-1.78,-3.57,0.00
19:07:55.153,1623.14,-1.56,-3.15,0.02
19:07:55.252,1634.64,-1.41,-2.83,0.02
19:07:55.350,1631.50,-1.53,-3.11,0.05
19:07:55.448,1634.50,-1.70,-3.47,0.06
