Timestamp (UTC),trval,tqP,tq1P,tq2P
18:17:29.705,36,0.79,-0.07
18:17:29.706,80.29,0.36,0.80,-0.08
18:17:29.706,,0.77,-0.14
18:17:29.706,82.50,0.33,0.79,-0.12
18:17:29.706,80.79,0.34,0.79,-0.10
18:17:29.707,77.93,0.34,0.77,-0.09
18:17:29.707,81.00,0.36,0.79,-0.07
18:17:29.707,80.29,0.36,0.80,-0.08
18:17:33.606,pEnd Setup.0.07,0.06,0.11,-0.00
18:17:33.695,1.71,0.10,0.17,0.03
18:17:33.781,-0.79,0.09,0.15,0.03
18:17:33.867,-2.43,0.08,0.13,0.04
18:17:33.953,1.29,0.07,0.10,0.03
18:17:34.040,-2.21,0.08,0.14,0.02
18:17:34.130,-8.50,0.02,0.01,0.02
18:17:34.215,-2.21,-0.02,-0.04,0.01
18:17:34.302,1.86,-0.01,-0.03,0.00
18:17:34.388,1.21,-0.02,-0.01,-0.02
18:17:34.474,-1.57,-0.02,-0.03,-0.01
18:17:34.559,1.21,-0.00,-0.02,0.02
18:17:34.650,3.21,-0.00,-0.05,0.04
18:17:34.736,1.36,0.03,0.00,0.05
18:17:34.822,-1.50,0.02,0.03,0.02
18:17:34.917,-2.14,0.01,0.02,-0.01
18:17:35.015,-4.21,0.03,0.04,0.01
18:17:35.113,-1.50,0.05,0.06,0.04
18:17:35.215,-0.43,0.03,0.02,0.03
18:17:35.313,-2.07,0.00,-0.02,0.02
18:17:35.412,-1.93,-0.02,-0.06,0.01
18:17:35.511,-4.43,0.02,0.01,0.04
18:17:35.608,-4.43,0.03,0.03,0.03
18:17:35.707,-3.14,0.01,0.05,-0.02
18:17:35.805,0.21,0.02,0.02,0.01
18:17:35.908,2.00,0.01,-0.01,0.03
18:17:36.005,0.36,0.00,-0.01,0.02
18:17:36.104,0.43,0.03,0.03,0.03
18:17:36.202,-0.93,0.03,0.02,0.03
18:17:36.301,0.14,0.02,0.07,-0.04
18:17:36.399,3.29,0.01,0.04,-0.02
18:17:36.496,-3.36,0.04,0.06,0.03
18:17:36.600,-1.36,0.07,0.09,0.05
18:17:36.698,-5.00,0.03,0.03,0.04
18:17:36.796,-5.71,0.01,0.01,0.00
18:17:36.894,-3.57,-0.02,-0.05,0.02
18:17:36.993,-4.93,-0.02,-0.05,0.01
18:17:37.091,-3.71,0.01,-0.00,0.02
18:17:37.194,-5.00,-0.00,-0.01,0.01
18:17:37.292,-1.14,0.01,-0.01,0.03
18:17:37.389,-3.64,0.02,0.04,0.01
18:17:37.488,-2.71,0.01,0.00,0.01
18:17:37.586,-2.50,-0.01,-0.04,0.02
18:17:37.684,-4.29,-0.00,-0.04,0.03
18:17:37.784,-2.79,-0.00,-0.00,-0.00
18:17:37.886,0.79,0.03,0.05,0.01
18:17:37.984,-0.29,0.04,0.05,0.03
18:17:38.082,0.86,0.01,0.00,0.01
18:17:38.181,-1.79,0.02,0.01,0.03
18:17:38.279,1.21,0.05,0.06,0.05
18:17:38.377,-1.86,0.06,0.04,0.08
18:17:38.475,-0.21,0.04,0.04,0.05
18:17:38.577,1.07,0.04,0.06,0.02
18:17:38.675,0.93,0.04,0.05,0.03
18:17:38.774,1.14,0.04,0.03,0.06
18:17:38.873,-0.86,0.03,0.01,0.06
18:17:38.971,-1.50,0.09,0.12,0.05
18:17:39.069,0.36,0.10,0.14,0.05
18:17:39.171,1.07,0.09,0.08,0.10
18:17:39.270,0.50,0.05,0.03,0.06
18:17:39.368,-0.43,0.05,0.04,0.07
18:17:39.466,3.14,0.07,0.06,0.08
18:17:39.564,-1.57,0.07,0.09,0.06
18:17:39.663,-4.36,0.07,0.09,0.04
18:17:39.762,-1.93,0.06,0.08,0.03
18:17:39.864,0.50,0.06,0.06,0.06
18:17:39.962,2.86,0.07,0.05,0.09
18:17:40.060,1.50,0.06,0.03,0.09
18:17:40.159,-2.21,0.03,-0.01,0.07
18:17:40.256,-1.21,0.04,0.03,0.05
18:17:40.355,-1.36,0.03,0.03,0.02
18:17:40.453,-1.36,0.06,0.06,0.05
18:17:40.556,-3.93,0.07,0.06,0.08
18:17:40.655,-0.21,0.08,0.06,0.09
18:17:40.752,-2.36,0.10,0.07,0.12
18:17:40.851,-0.50,0.04,0.02,0.05
18:17:40.948,1.50,-0.01,-0.03,-0.00
18:17:41.048,0.64,0.01,0.00,0.01
18:17:41.149,-1.36,0.04,0.04,0.05
18:17:41.248,-6.93,0.04,0.03,0.05
18:17:41.347,-7.00,0.07,0.08,0.05
18:17:41.445,-5.50,0.08,0.09,0.07
18:17:41.543,1.21,0.07,0.08,0.05
18:17:41.642,-2.29,0.05,0.06,0.03
18:17:41.739,-0.29,0.05,0.06,0.03
18:17:41.841,0.00,0.04,0.05,0.03
18:17:41.940,-0.50,0.06,0.07,0.05
18:17:42.038,1.00,0.07,0.09,0.06
18:17:42.137,0.93,0.08,0.10,0.06
18:17:42.235,1.57,0.09,0.12,0.06
18:17:42.333,1.71,0.07,0.11,0.04
18:17:42.432,0.57,0.05,0.07,0.04
18:17:42.534,-0.79,0.04,0.03,0.05
18:17:42.632,-0.07,0.04,0.02,0.06
18:17:42.731,-2.29,0.06,0.04,0.08
18:17:42.829,-2.64,0.07,0.05,0.08
18:17:42.928,0.29,0.04,0.05,0.03
18:17:43.025,6.00,0.05,0.09,0.01
18:17:43.127,2.00,0.06,0.08,0.04
18:17:43.226,-0.71,0.07,0.08,0.06
18:17:43.324,-3.57,0.05,0.06,0.03
18:17:43.423,-0.79,0.04,0.03,0.05
18:17:43.522,1.79,0.03,0.02,0.04
18:17:43.619,2.36,0.03,-0.02,0.08
18:17:43.718,0.64,0.06,0.03,0.09
18:17:43.819,5.07,0.08,0.05,0.11
18:17:43.917,2.64,0.07,0.03,0.10
18:17:44.017,-1.43,0.01,-0.04,0.05
18:17:44.115,13.93,1.66,-1.48,4.80
18:17:44.214,622.50,5.50,-7.04,18.04
18:17:44.315,2563.14,6.49,-10.11,23.08
18:17:44.414,3373.93,6.44,-10.70,23.58
18:17:44.512,3492.50,6.40,-11.06,23.87
18:17:44.611,3558.71,6.42,-10.74,23.57
18:17:44.709,3361.14,5.18,-8.59,18.94
18:17:44.807,2601.43,1.52,-6.49,9.54
18:17:44.906,1934.21,1.31,-5.04,7.67
18:17:45.008,1844.79,1.19,-4.16,6.53
18:17:45.106,1791.50,1.05,-3.65,5.76
18:17:45.205,1761.21,0.44,-3.94,4.81
18:17:45.303,1734.50,0.21,-3.38,3.79
18:17:45.401,1707.71,0.66,-3.12,4.43
18:17:45.500,1684.50,3.99,-3.86,11.83
18:17:45.597,1655.86,3.22,-3.06,9.51
18:17:45.699,1628.57,2.08,-2.28,6.44
18:17:45.798,1578.21,1.42,-1.89,4.73
18:17:45.898,1566.50,1.23,-1.45,3.91
18:17:45.995,1555.50,0.60,-1.07,2.26
18:17:46.093,1545.29,0.33,-1.06,1.73
18:17:46.191,1538.36,0.71,-1.25,2.68
18:17:46.294,1528.50,-0.13,-1.18,0.93
18:17:46.392,1518.79,-0.45,-1.01,0.11
18:17:46.491,1504.07,-0.51,-1.08,0.06
18:17:46.589,1477.79,-0.51,-1.08,0.07
18:17:46.687,1475.50,-0.53,-1.14,0.07
18:17:46.785,1467.50,-0.52,-1.13,0.09
18:17:46.884,1461.29,-0.51,-1.12,0.11
18:17:46.986,1459.93,-0.50,-1.12,0.12
18:17:47.084,1458.07,-0.50,-1.12,0.13
18:17:47.183,1452.21,-0.54,-1.17,0.10
18:17:47.281,1443.50,-0.53,-1.11,0.06
18:17:47.380,1438.86,-0.43,-0.92,0.07
18:17:47.478,1433.79,-0.43,-0.96,0.10
18:17:47.578,1432.50,-0.47,-1.03,0.09
18:17:47.678,1426.07,-0.57,-1.25,0.11
18:17:47.777,1438.64,-0.52,-1.20,0.15
18:17:47.875,1432.86,-0.44,-1.00,0.12
18:17:47.974,1406.43,-0.41,-0.92,0.10
18:17:48.071,1404.21,-0.45,-1.02,0.12
18:17:48.171,1407.50,-0.47,-1.09,0.15
18:17:48.272,1388.29,-0.50,-1.14,0.14
18:17:48.371,1382.64,-0.46,-1.05,0.13
18:17:48.469,1381.64,-0.44,-1.02,0.14
18:17:48.567,1381.00,-0.43,-0.99,0.14
18:17:48.666,1377.57,-0.41,-0.95,0.13
18:17:48.766,1377.93,-0.41,-0.94,0.12
18:17:48.862,1379.79,-0.40,-0.93,0.13
18:17:48.964,1380.36,-0.41,-0.95,0.12
18:17:49.063,1371.86,-0.42,-0.98,0.15
18:17:49.161,1370.36,-0.45,-1.06,0.16
18:17:49.259,1373.86,-0.57,-1.27,0.13
18:17:49.358,1376.71,-0.53,-1.17,0.11
18:17:49.456,1366.14,-0.60,-1.32,0.12
18:17:49.558,1362.07,-0.56,-1.24,0.12
18:17:49.656,1362.71,-0.60,-1.36,0.15
18:17:49.755,1359.79,-0.69,-1.56,0.17
18:17:49.853,1360.79,-0.72,-1.63,0.19
18:17:49.952,1362.14,-0.81,-1.78,0.16
18:17:50.049,1355.36,-0.85,-1.85,0.14
18:17:50.148,1352.29,-0.99,-2.12,0.13
18:17:50.251,1346.43,-1.40,-2.94,0.15
18:17:50.349,1345.57,-0.68,-1.97,0.61
18:17:50.446,1344.71,2.15,-1.05,5.34
18:17:50.546,1339.00,1.54,-0.90,3.98
18:17:50.644,1340.43,1.22,-0.83,3.26
18:17:50.742,1341.07,0.99,-0.81,2.80
18:17:50.841,1339.71,0.79,-0.85,2.44
18:17:50.943,1339.00,0.70,-0.86,2.27
18:17:51.041,1338.14,0.59,-0.84,2.02
18:17:51.139,1336.86,0.56,-0.92,2.04
18:17:51.238,1340.14,0.41,-1.12,1.94
18:17:51.336,1343.14,0.72,-1.07,2.51
18:17:51.434,1337.79,1.35,-0.85,3.55
18:17:51.533,1338.64,1.62,-0.83,4.06
18:17:51.635,1357.93,1.49,-0.80,3.78
18:17:51.734,1376.57,0.99,-0.87,2.84
18:17:51.832,1364.71,0.96,-0.89,2.81
