Timestamp (UTC),trval,tqP,tq1P,tq2P
18:35:36.664,01,1.46,-1.47
18:35:36.664,0.79,-0.00,1.46,-1.47
18:35:36.665,-2.29,-0.03,1.42,-1.47
18:35:36.665,-1.21,-0.02,1.44,-1.49
18:35:36.665,2.21,-0.02,1.45,-1.49
18:35:36.666,.47,-1.49
18:35:36.666,2.79,-0.01,1.46,-1.47
18:35:36.666,0.79,-0.00,1.46,-1.47
18:35:36.666,-2.29,-0.03,1.42,-1.47
18:35:36.666,-1.21,-0.02,1.44,-1.49
18:35:36.667,2.21,-0.02,1.45,-1.49
18:35:40.565,pEnd Setup.-3.21,0.01,0.05,-0.03
18:35:40.652,-0.57,0.00,-0.01,0.01
18:35:40.738,-0.07,0.00,-0.01,0.02
18:35:40.828,0.64,0.01,-0.00,0.02
18:35:40.913,1.14,-0.01,-0.02,0.01
18:35:40.999,2.64,-0.02,-0.05,0.01
18:35:41.085,4.93,-0.08,-0.15,0.00
18:35:41.172,4.29,-0.11,-0.19,-0.02
18:35:41.257,1.50,-0.11,-0.20,-0.01
18:35:41.347,0.79,-0.09,-0.18,-0.01
18:35:41.433,2.71,-0.00,-0.04,0.03
18:35:41.520,1.93,0.02,0.00,0.04
18:35:41.606,0.07,0.05,0.06,0.04
18:35:41.692,-2.29,-0.00,0.03,-0.03
18:35:41.778,-2.79,-0.01,-0.00,-0.01
18:35:41.876,0.29,0.02,0.04,0.00
18:35:41.974,1.07,0.03,0.07,-0.02
18:35:42.073,-0.86,0.04,0.09,-0.00
18:35:42.171,-0.36,0.05,0.10,-0.01
18:35:42.273,1.71,0.04,0.08,0.00
18:35:42.371,-0.07,0.03,0.06,0.01
18:35:42.470,-2.43,0.03,0.06,0.00
18:35:42.568,-2.86,0.03,0.06,-0.01
18:35:42.666,3.71,0.05,0.12,-0.01
18:35:42.765,5.29,0.04,0.08,-0.00
18:35:42.863,0.79,0.03,0.06,0.01
18:35:42.965,-1.00,0.07,0.10,0.04
18:35:43.064,1.36,0.06,0.09,0.02
18:35:43.163,2.79,0.03,0.10,-0.05
18:35:43.260,1.57,0.05,0.11,-0.01
18:35:43.358,2.93,0.05,0.08,0.01
18:35:43.457,6.71,0.04,0.05,0.02
18:35:43.559,-4.86,0.05,0.08,0.02
18:35:43.658,-4.00,0.03,0.07,-0.01
18:35:43.755,2.43,0.03,0.06,0.00
18:35:43.854,3.21,0.05,0.10,-0.01
18:35:43.953,3.14,0.06,0.10,0.02
18:35:44.051,3.71,0.04,0.10,-0.01
18:35:44.150,5.00,0.03,0.07,-0.02
18:35:44.251,2.57,0.04,0.09,-0.02
18:35:44.349,0.21,0.07,0.14,0.00
18:35:44.447,1.71,0.06,0.12,-0.01
18:35:44.546,-1.00,0.03,0.06,0.01
18:35:44.645,-0.14,0.04,0.11,-0.02
18:35:44.743,1.57,0.05,0.11,0.00
18:35:44.845,-0.29,0.04,0.07,-0.00
18:35:44.943,-0.21,0.04,0.09,-0.02
18:35:45.042,2.00,0.01,0.06,-0.03
18:35:45.140,3.29,0.02,0.10,-0.05
18:35:45.238,6.93,0.06,0.14,-0.03
18:35:45.337,5.29,0.04,0.11,-0.04
18:35:45.435,0.36,0.03,0.09,-0.04
18:35:45.538,2.36,-0.00,0.02,-0.03
18:35:45.635,5.71,0.01,0.04,-0.02
18:35:45.734,1.14,0.04,0.10,-0.02
18:35:45.832,-1.21,0.05,0.13,-0.02
18:35:45.931,1.36,0.07,0.16,-0.02
18:35:46.029,-0.64,0.08,0.17,-0.01
18:35:46.128,-0.21,0.06,0.11,0.00
18:35:46.230,-1.07,0.02,0.05,-0.01
18:35:46.327,2.14,0.01,0.02,0.01
18:35:46.426,2.50,0.04,0.09,-0.01
18:35:46.525,-0.86,0.03,0.10,-0.03
18:35:46.623,-1.93,0.03,0.07,-0.02
18:35:46.722,-2.14,0.01,0.04,-0.02
18:35:46.824,0.00,0.06,0.14,-0.03
18:35:46.922,0.93,0.05,0.15,-0.05
18:35:47.020,3.21,0.03,0.11,-0.05
18:35:47.118,4.79,0.01,0.04,-0.02
18:35:47.217,1.57,0.00,0.02,-0.01
18:35:47.315,0.50,0.06,0.11,0.00
18:35:47.414,2.50,0.05,0.11,-0.01
18:35:47.516,0.93,0.07,0.13,0.01
18:35:47.614,-2.71,0.05,0.11,-0.00
18:35:47.713,-2.21,0.04,0.12,-0.04
18:35:47.811,-0.43,0.02,0.07,-0.03
18:35:47.909,1.79,0.02,0.05,-0.01
18:35:48.007,3.86,0.02,0.05,-0.01
18:35:48.109,-0.57,0.04,0.08,-0.01
18:35:48.208,-0.86,0.07,0.14,0.01
18:35:48.306,0.29,0.04,0.11,-0.04
18:35:48.404,2.43,0.05,0.13,-0.04
18:35:48.503,1.50,0.06,0.14,-0.02
18:35:48.601,2.79,0.02,0.08,-0.03
18:35:48.700,4.14,0.02,0.07,-0.02
18:35:48.801,0.29,0.06,0.11,0.01
18:35:48.900,0.71,0.06,0.13,-0.00
18:35:48.999,1.00,0.05,0.11,-0.01
18:35:49.096,1.43,0.06,0.11,0.00
18:35:49.195,4.07,0.06,0.12,-0.01
18:35:49.293,2.07,0.06,0.14,-0.03
18:35:49.392,0.36,0.07,0.17,-0.03
18:35:49.494,1.29,0.04,0.11,-0.02
18:35:49.593,0.29,0.03,0.08,-0.02
18:35:49.690,0.71,0.04,0.09,-0.01
18:35:49.789,1.36,0.04,0.10,-0.02
18:35:49.887,3.57,0.05,0.11,-0.01
18:35:49.986,1.57,0.06,0.11,0.02
18:35:50.088,-2.50,0.05,0.12,-0.02
18:35:50.185,-1.14,0.06,0.13,-0.02
18:35:50.284,2.00,0.02,0.07,-0.04
18:35:50.382,3.00,0.01,0.06,-0.05
18:35:50.481,2.07,0.04,0.11,-0.03
18:35:50.579,-2.43,0.02,0.08,-0.04
18:35:50.678,-0.50,0.01,0.07,-0.04
18:35:50.780,2.43,0.01,0.09,-0.07
18:35:50.878,1.00,-0.04,-0.02,-0.06
18:35:50.976,-3.86,-0.28,-0.49,-0.06
18:35:51.075,6.64,-0.44,-0.79,-0.09
18:35:51.174,5.86,-0.43,-0.80,-0.06
18:35:51.271,12.86,-0.28,-0.54,-0.01
18:35:51.373,17.36,-0.15,-0.30,-0.00
18:35:51.472,-22.00,-0.11,-0.22,-0.00
18:35:51.570,-25.79,-0.10,-0.18,-0.02
18:35:51.669,-26.00,-0.13,-0.21,-0.04
18:35:51.768,-26.64,-0.14,-0.19,-0.09
18:35:51.866,-26.00,-0.17,-0.25,-0.08
18:35:51.963,-24.71,-0.14,-0.18,-0.09
18:35:52.066,-25.21,-0.03,0.04,-0.10
18:35:52.165,-24.07,-0.07,-0.05,-0.09
18:35:52.263,-23.86,-0.09,-0.13,-0.05
18:35:52.362,-25.14,-0.93,-2.08,0.21
18:35:52.460,110.71,3.96,-8.71,16.63
18:35:52.558,1652.50,3.96,-11.77,19.69
18:35:52.660,3251.29,4.12,-12.17,20.40
18:35:52.757,3495.86,4.14,-12.24,20.52
18:35:52.856,3500.93,4.14,-12.02,20.29
